accession,entry_name,protein_name,gene_name,gene_synonyms,organism,go_terms,ec_numbers,interpro,pfam
Q54FN7,PKS33_DICDI,Probable polyketide synthase 33,pks33,,Dictyostelium discoideum (Social amoeba),GO:0016020 (C:membrane); GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR013120 (FAR_NAD-bd); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049551 (PKS_DH_C); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR010080 (Thioester_reductase-like_dom); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF07993 (NAD_binding_4); PF14765 (PS-DH)
Q54FN2,PKS34_DICDI,Probable polyketide synthase 34,pks34,,Dictyostelium discoideum (Social amoeba),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR013120 (FAR_NAD-bd); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR010080 (Thioester_reductase-like_dom); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF07993 (NAD_binding_4)
Q54FD2,PKS38_DICDI,Probable polyketide synthase 38,pks38,,Dictyostelium discoideum (Social amoeba),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR013120 (FAR_NAD-bd); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR010080 (Thioester_reductase-like_dom); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF07993 (NAD_binding_4)
A0A194WAB9,PKS39_CYTMA,Highly reducing polyketide synthase PKS39,PKS39,,Cytospora mali (Apple Valsa canker fungus) (Valsa mali),GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0030639 (P:polyketide biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013149 (ADH-like_C); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF00107 (ADH_zinc_N); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF14765 (PS-DH)
Q54FC8,PKS39_DICDI,Probable polyketide synthase 39,pks39,,Dictyostelium discoideum (Social amoeba),GO:0016020 (C:membrane); GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR013120 (FAR_NAD-bd); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR010080 (Thioester_reductase-like_dom); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF07993 (NAD_binding_4)
Q55CN6,PKS3_DICDI,Probable polyketide synthase 3,pks3,,Dictyostelium discoideum (Social amoeba),GO:0016020 (C:membrane); GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR020843 (ER); IPR013120 (FAR_NAD-bd); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049551 (PKS_DH_C); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR010080 (Thioester_reductase-like_dom); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF07993 (NAD_binding_4); PF14765 (PS-DH)
Q9AU09,PKS3_RUBID,Polyketide synthase 3,PKS3,,Rubus idaeus (Raspberry),GO:0033815 (F:biphenyl synthase activity); GO:0016210 (F:naringenin-chalcone synthase activity); GO:0042803 (F:protein homodimerization activity); GO:0009813 (P:flavonoid biosynthetic process); GO:0030639 (P:polyketide biosynthetic process),2.3.1.74,IPR012328 (Chalcone/stilbene_synt_C); IPR001099 (Chalcone/stilbene_synt_N); IPR018088 (Chalcone/stilbene_synthase_AS); IPR011141 (Polyketide_synthase_type-III); IPR016039 (Thiolase-like),PF02797 (Chal_sti_synt_C); PF00195 (Chal_sti_synt_N)
Q54ED7,PKS40_DICDI,Probable polyketide synthase 40,pks40,,Dictyostelium discoideum (Social amoeba),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049551 (PKS_DH_C); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF14765 (PS-DH)
Q54ED6,PKS41_DICDI,Probable polyketide synthase 41,pks41,,Dictyostelium discoideum (Social amoeba),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049551 (PKS_DH_C); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF14765 (PS-DH)
Q54D44,PKS42_DICDI,Probable polyketide synthase 42,pks42,,Dictyostelium discoideum (Social amoeba),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12)
Q54B51,PKS44_DICDI,Probable polyketide synthase 44,pks44,,Dictyostelium discoideum (Social amoeba),GO:0016020 (C:membrane); GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR013120 (FAR_NAD-bd); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR010080 (Thioester_reductase-like_dom); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF07993 (NAD_binding_4)
Q54B49,PKS45_DICDI,Probable polyketide synthase 45,pks45,,Dictyostelium discoideum (Social amoeba),GO:0016020 (C:membrane); GO:0016746 (F:acyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR013120 (FAR_NAD-bd); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR010080 (Thioester_reductase-like_dom); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF07993 (NAD_binding_4)
B0LDU5,PKS4_RUBID,Polyketide synthase 4,PKS4,BAS,Rubus idaeus (Raspberry),GO:0033815 (F:biphenyl synthase activity); GO:0016210 (F:naringenin-chalcone synthase activity); GO:0042803 (F:protein homodimerization activity); GO:0009813 (P:flavonoid biosynthetic process); GO:0030639 (P:polyketide biosynthetic process),2.3.1.212; 2.3.1.74,IPR012328 (Chalcone/stilbene_synt_C); IPR001099 (Chalcone/stilbene_synt_N); IPR018088 (Chalcone/stilbene_synthase_AS); IPR011141 (Polyketide_synthase_type-III); IPR016039 (Thiolase-like),PF02797 (Chal_sti_synt_C); PF00195 (Chal_sti_synt_N)
Q86JI5,PKS5_DICDI,Probable polyketide synthase 5,pks5,,Dictyostelium discoideum (Social amoeba),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0048837 (P:sorocarp sorus development),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12)
E5A7D9,PKS5_LEPMJ,Highly reducing polyketide synthase pks5,pks5,,Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam),GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF14765 (PS-DH)
A0R1E8,PKS5_MYCS2,Mycocerosic acid synthase-like polyketide synthase,pks5,,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis),GO:0005737 (C:cytoplasm); GO:0005886 (C:plasma membrane); GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0071770 (P:DIM/DIP cell wall layer assembly); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR053386 (MBFA_synthase); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
O53901,PKS5_MYCTU,Mycocerosic acid synthase-like polyketide synthase,pks5,,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),GO:0005737 (C:cytoplasm); GO:0005829 (C:cytosol); GO:0009274 (C:peptidoglycan-based cell wall); GO:0005886 (C:plasma membrane); GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0071770 (P:DIM/DIP cell wall layer assembly); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013149 (ADH-like_C); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR053386 (MBFA_synthase); IPR036291 (NAD(P)-bd_dom_sf); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF00107 (ADH_zinc_N); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
B0LDU6,PKS5_RUBID,Polyketide synthase 5,PKS5,,Rubus idaeus (Raspberry),GO:0033815 (F:biphenyl synthase activity); GO:0016210 (F:naringenin-chalcone synthase activity); GO:0042803 (F:protein homodimerization activity); GO:0009813 (P:flavonoid biosynthetic process); GO:0030639 (P:polyketide biosynthetic process),2.3.1.74,IPR012328 (Chalcone/stilbene_synt_C); IPR001099 (Chalcone/stilbene_synt_N); IPR018088 (Chalcone/stilbene_synthase_AS); IPR011141 (Polyketide_synthase_type-III); IPR016039 (Thiolase-like),PF02797 (Chal_sti_synt_C); PF00195 (Chal_sti_synt_N)
B0G0Z9,PKS6_DICDI,Probable polyketide synthase 6,pks6,,Dictyostelium discoideum (Social amoeba),GO:0016020 (C:membrane); GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR013120 (FAR_NAD-bd); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR010080 (Thioester_reductase-like_dom); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF07993 (NAD_binding_4)
